seatId,zoneKey,row,number,svgSelector
MEZZ-B-07,MEZZ,B,07,"#seat_MEZZ-B-07"
MEZZ-B-08,MEZZ,B,08,"#seat_MEZZ-B-08"
MEZZ-B-09,MEZZ,B,09,"#seat_MEZZ-B-09"
MEZZ-B-10,MEZZ,B,10,"#seat_MEZZ-B-10"
MEZZ-B-11,MEZZ,B,11,"#seat_MEZZ-B-11"
MEZZ-B-12,MEZZ,B,12,"#seat_MEZZ-B-12"
MEZZ-B-13,MEZZ,B,13,"#seat_MEZZ-B-13"
MEZZ-B-14,MEZZ,B,14,"#seat_MEZZ-B-14"
BALC-A-01,BALC,A,01,"#seat_BALC-A-01"
BALC-A-02,BALC,A,02,"#seat_BALC-A-02"
BALC-A-03,BALC,A,03,"#seat_BALC-A-03"
BALC-A-04,BALC,A,04,"#seat_BALC-A-04"
BALC-A-05,BALC,A,05,"#seat_BALC-A-05"
BALC-A-06,BALC,A,06,"#seat_BALC-A-06"
BALC-A-07,BALC,A,07,"#seat_BALC-A-07"
BALC-A-08,BALC,A,08,"#seat_BALC-A-08"
BALC-A-09,BALC,A,09,"#seat_BALC-A-09"
BALC-A-10,BALC,A,10,"#seat_BALC-A-10"
BALC-A-11,BALC,A,11,"#seat_BALC-A-11"
BALC-A-12,BALC,A,12,"#seat_BALC-A-12"
BALC-B-01,BALC,B,01,"#seat_BALC-B-01"
BALC-B-02,BALC,B,02,"#seat_BALC-B-02"
BALC-B-03,BALC,B,03,"#seat_BALC-B-03"
BALC-B-04,BALC,B,04,"#seat_BALC-B-04"
BALC-B-05,BALC,B,05,"#seat_BALC-B-05"
BALC-B-06,BALC,B,06,"#seat_BALC-B-06"
BALC-B-07,BALC,B,07,"#seat_BALC-B-07"
BALC-B-08,BALC,B,08,"#seat_BALC-B-08"
BALC-B-09,BALC,B,09,"#seat_BALC-B-09"
BALC-B-10,BALC,B,10,"#seat_BALC-B-10"
LOGE_L-A-01,LOGE_L,A,01,"#seat_LOGE_L-A-01"
LOGE_L-A-02,LOGE_L,A,02,"#seat_LOGE_L-A-02"
LOGE_L-B-01,LOGE_L,B,01,"#seat_LOGE_L-B-01"
LOGE_L-B-02,LOGE_L,B,02,"#seat_LOGE_L-B-02"
LOGE_L-C-01,LOGE_L,C,01,"#seat_LOGE_L-C-01"
LOGE_L-C-02,LOGE_L,C,02,"#seat_LOGE_L-C-02"
LOGE_R-A-01,LOGE_R,A,01,"#seat_LOGE_R-A-01"
LOGE_R-A-02,LOGE_R,A,02,"#seat_LOGE_R-A-02"
LOGE_R-B-01,LOGE_R,B,01,"#seat_LOGE_R-B-01"
LOGE_R-B-02,LOGE_R,B,02,"#seat_LOGE_R-B-02"
LOGE_R-C-01,LOGE_R,C,01,"#seat_LOGE_R-C-01"
LOGE_R-C-02,LOGE_R,C,02,"#seat_LOGE_R-C-02"
